epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,7555.99,0.74597,1.42808,0.81617,0.99707,0,0.9159,0.8533,0.89377,0.74102,0.89772,0.83354,0.85863,0.63557,0.57111,1.00755,0.4656,0.91382,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7878.97,0.74013,1.41258,0.80331,0.9971,0,0.92177,0.8579,0.89352,0.73933,0.90495,0.83882,0.85987,0.63486,0.5733,0.99941,0.46334,0.91264,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8202.7,0.74121,1.42328,0.78995,0.99101,0,0.92775,0.85879,0.89694,0.7428,0.91291,0.83715,0.86203,0.64078,0.56712,0.99482,0.4564,0.90765,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8523.29,0.73489,1.40622,0.77287,0.98779,0,0.92895,0.85801,0.89866,0.74557,0.9078,0.83698,0.86127,0.63973,0.55859,0.99217,0.44431,0.90408,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8846.02,0.73042,1.39565,0.77155,0.9848,0,0.9027,0.86922,0.90361,0.75227,0.88413,0.84928,0.86746,0.64665,0.55528,0.98073,0.43246,0.90408,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9167.63,0.72706,1.39402,0.75693,0.98634,0,0.93264,0.8665,0.90446,0.75671,0.91642,0.84939,0.87274,0.64978,0.55139,0.97468,0.43013,0.89989,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9490.17,0.72449,1.39266,0.75739,0.98768,0,0.93565,0.86718,0.9054,0.75732,0.91808,0.84646,0.87269,0.65265,0.54647,0.9719,0.42792,0.90011,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9812.29,0.72074,1.37764,0.74281,0.98209,0,0.93877,0.86718,0.91386,0.76773,0.91861,0.84863,0.87911,0.65968,0.54151,0.97111,0.42048,0.89527,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10134.6,0.71568,1.373,0.74022,0.98376,0,0.93995,0.87304,0.90817,0.76375,0.92013,0.85318,0.87467,0.65687,0.53955,0.96295,0.40948,0.89312,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10457.1,0.71477,1.36932,0.72033,0.97844,0,0.94237,0.87328,0.90834,0.76459,0.9223,0.85226,0.87279,0.65709,0.53431,0.95581,0.40381,0.89,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10778.2,0.70872,1.3553,0.71963,0.97454,0,0.93699,0.87447,0.90931,0.76605,0.91771,0.85801,0.87783,0.66108,0.53344,0.94985,0.40289,0.89106,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11099.2,0.70287,1.35607,0.71288,0.9766,0,0.94948,0.87003,0.91252,0.76967,0.92866,0.85021,0.87766,0.66188,0.52929,0.95224,0.38888,0.88909,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11422.6,0.71287,1.36819,0.71469,0.97823,0,0.93687,0.87762,0.90959,0.76819,0.91866,0.85757,0.87648,0.66036,0.53005,0.94204,0.39364,0.88888,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11742.6,0.70025,1.34721,0.69934,0.97235,0,0.94884,0.87786,0.91301,0.77237,0.92856,0.85721,0.87728,0.66569,0.52135,0.94086,0.38631,0.88376,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12062.4,0.70144,1.34476,0.69712,0.97057,0,0.95164,0.87266,0.91446,0.77412,0.93065,0.85273,0.8771,0.6643,0.5237,0.94411,0.38467,0.88582,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12382.5,0.69875,1.3344,0.68829,0.97095,0,0.95324,0.87509,0.91884,0.77916,0.93276,0.85574,0.88362,0.66987,0.5194,0.93774,0.3806,0.88301,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12703.2,0.69345,1.32825,0.68455,0.97033,0,0.95043,0.87742,0.92066,0.78142,0.93137,0.8595,0.88838,0.67214,0.51783,0.92693,0.37825,0.8825,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13023.4,0.68767,1.31493,0.67174,0.96662,0,0.94558,0.88462,0.91609,0.77953,0.92708,0.86005,0.87802,0.668,0.51356,0.9303,0.36929,0.87984,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13343.7,0.68739,1.3146,0.667,0.96637,0,0.95363,0.8883,0.91692,0.77841,0.93225,0.86719,0.88144,0.66893,0.51296,0.92766,0.36857,0.88077,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13664.7,0.68048,1.30118,0.65777,0.96554,0,0.94442,0.89212,0.93276,0.79688,0.92463,0.87064,0.89606,0.68348,0.51041,0.92211,0.3615,0.87992,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13986.2,0.68112,1.30716,0.65089,0.96255,0,0.95378,0.88992,0.93403,0.79961,0.93265,0.86945,0.89813,0.68589,0.50658,0.91856,0.35977,0.87715,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14306,0.68328,1.32957,0.66076,0.96686,0,0.95062,0.89076,0.92034,0.78634,0.93607,0.86838,0.88536,0.67322,0.50561,0.91575,0.35538,0.87643,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14627.2,0.68255,1.31079,0.65186,0.96381,0,0.95739,0.8881,0.91943,0.78544,0.93457,0.86846,0.88267,0.67339,0.50537,0.91545,0.35035,0.87627,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14949.4,0.68922,1.32445,0.64659,0.96581,0,0.95893,0.88747,0.9201,0.78698,0.93859,0.86771,0.88562,0.67399,0.50403,0.91406,0.34924,0.87554,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15269.1,0.67186,1.28463,0.63887,0.95673,0,0.94876,0.89122,0.91868,0.78687,0.93471,0.86418,0.88346,0.67369,0.50204,0.91013,0.35106,0.87359,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15590.1,0.66933,1.29684,0.64784,0.95972,0,0.95299,0.8896,0.92449,0.79368,0.93317,0.8708,0.89031,0.68149,0.49528,0.90925,0.34698,0.87193,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15911.1,0.66991,1.28211,0.6232,0.95853,0,0.95578,0.89555,0.92498,0.79446,0.93613,0.8758,0.89013,0.68214,0.49409,0.90517,0.34443,0.87161,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16232.2,0.67077,1.29543,0.63587,0.95884,0,0.95826,0.89181,0.9238,0.79411,0.9364,0.87047,0.88605,0.68082,0.49521,0.90466,0.34265,0.87157,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16553,0.67008,1.28418,0.62494,0.95959,0,0.95489,0.89458,0.92573,0.79736,0.93952,0.87109,0.89217,0.68421,0.49287,0.8982,0.33732,0.87079,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16873.3,0.66528,1.27313,0.62072,0.9563,0,0.95911,0.89519,0.92204,0.79327,0.93987,0.87444,0.88758,0.6809,0.49191,0.90188,0.33489,0.86926,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17197,0.66677,1.27148,0.61478,0.95484,0,0.96507,0.89062,0.92297,0.79425,0.9431,0.86978,0.8866,0.68072,0.48811,0.89673,0.33338,0.86794,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17520.7,0.6688,1.28488,0.61068,0.95759,0,0.96082,0.89315,0.92697,0.79932,0.94049,0.8739,0.894,0.68466,0.48716,0.89674,0.33104,0.86717,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17842.8,0.65615,1.25673,0.60931,0.95256,0,0.9583,0.89647,0.92474,0.79711,0.94139,0.87572,0.8918,0.68425,0.48581,0.89298,0.33043,0.86706,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18166.3,0.65911,1.25963,0.60381,0.95106,0,0.95952,0.89844,0.93107,0.80225,0.94,0.87999,0.89795,0.69027,0.48502,0.89499,0.32678,0.86547,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18489.7,0.66089,1.27004,0.60401,0.95544,0,0.96299,0.89756,0.93203,0.80578,0.944,0.8778,0.89911,0.69338,0.48192,0.88848,0.3231,0.86457,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18813.4,0.66063,1.26462,0.59921,0.95326,0,0.96092,0.90173,0.93952,0.81253,0.94356,0.88011,0.90506,0.69872,0.47983,0.88672,0.32112,0.86324,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,19136.4,0.65295,1.26416,0.5899,0.94673,0,0.96138,0.90059,0.93947,0.81616,0.94431,0.87971,0.9062,0.7,0.47742,0.88316,0.32086,0.86243,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19458.5,0.64577,1.23323,0.58547,0.94666,0,0.96525,0.90029,0.94045,0.81663,0.94479,0.881,0.90605,0.70062,0.47645,0.88541,0.31909,0.86276,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19781,0.65022,1.24906,0.58426,0.94753,0,0.96276,0.90204,0.9408,0.81684,0.94368,0.88028,0.90695,0.70338,0.47675,0.88538,0.3171,0.86153,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,20103.4,0.64643,1.24609,0.5749,0.94697,0,0.96425,0.90189,0.93579,0.8122,0.94274,0.88142,0.90018,0.69725,0.47615,0.88209,0.31517,0.86141,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20426,0.64223,1.24141,0.57553,0.94524,0,0.96271,0.90325,0.93645,0.81367,0.94591,0.87796,0.90046,0.69844,0.47469,0.87881,0.31442,0.86123,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20750.4,0.64298,1.24395,0.57268,0.94622,0,0.96174,0.90635,0.94668,0.82403,0.9416,0.88527,0.91214,0.70768,0.47341,0.87758,0.31183,0.86054,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,21075,0.63757,1.23294,0.56496,0.9423,0,0.9652,0.90179,0.94309,0.82141,0.94445,0.88183,0.90874,0.70566,0.47194,0.87573,0.311,0.86,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,21397.2,0.64305,1.23475,0.56713,0.94559,0,0.96243,0.90303,0.94327,0.82265,0.94149,0.88363,0.90849,0.70642,0.47101,0.87479,0.3101,0.85895,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21720.3,0.63656,1.21785,0.56156,0.94311,0,0.9618,0.90341,0.9433,0.82329,0.94214,0.88223,0.90818,0.7065,0.47061,0.87473,0.30886,0.85847,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,22043,0.63717,1.22012,0.55744,0.94357,0,0.96188,0.90493,0.93712,0.81719,0.9431,0.88185,0.90168,0.70099,0.46993,0.87411,0.30775,0.8582,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,22365.1,0.63148,1.20859,0.55297,0.93966,0,0.96511,0.90451,0.93626,0.8167,0.94452,0.88366,0.90109,0.7004,0.46852,0.87281,0.30599,0.85761,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22688.1,0.63314,1.2251,0.55336,0.94179,0,0.96503,0.90456,0.93638,0.81679,0.94465,0.88455,0.90162,0.70123,0.46722,0.87123,0.30481,0.85707,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,23010.9,0.62981,1.20585,0.54788,0.94082,0,0.96777,0.90324,0.94237,0.82324,0.94804,0.88264,0.90838,0.70769,0.46629,0.86879,0.30318,0.85631,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,23333.7,0.63324,1.21801,0.54587,0.94089,0,0.96976,0.90117,0.93833,0.82108,0.94965,0.88195,0.90441,0.70519,0.46544,0.86982,0.30111,0.85568,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23657.7,0.62855,1.19822,0.54069,0.93966,0,0.96972,0.90296,0.94723,0.83043,0.95053,0.88331,0.9141,0.71391,0.46418,0.86788,0.29908,0.85516,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23980.2,0.62779,1.21014,0.54197,0.93848,0,0.9689,0.90485,0.94946,0.83283,0.95008,0.88377,0.91471,0.71547,0.46318,0.86515,0.29801,0.85472,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,24305,0.62135,1.19848,0.53191,0.93803,0,0.96914,0.90547,0.95391,0.83718,0.94988,0.88593,0.92037,0.72049,0.46255,0.86276,0.2979,0.85433,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,24628.8,0.62345,1.19735,0.53093,0.93635,0,0.97002,0.90773,0.95427,0.83805,0.95071,0.88694,0.9203,0.72063,0.46207,0.86157,0.2962,0.85417,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,24950.6,0.61884,1.19281,0.52563,0.93543,0,0.97081,0.90666,0.9545,0.83811,0.95098,0.8863,0.92023,0.72089,0.46135,0.86049,0.29504,0.8542,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,25272.8,0.61584,1.18257,0.52103,0.93359,0,0.96902,0.90783,0.95483,0.83803,0.94991,0.88622,0.92006,0.72109,0.46136,0.85955,0.29423,0.85399,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,25596.7,0.61159,1.18805,0.51694,0.93133,0,0.96785,0.90778,0.95499,0.83905,0.94867,0.88649,0.92029,0.72162,0.46057,0.8578,0.29287,0.85377,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,25918.5,0.61566,1.18262,0.51716,0.93384,0,0.9678,0.90798,0.95513,0.83991,0.94841,0.88682,0.92011,0.72285,0.45974,0.85697,0.29228,0.85327,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,26242.6,0.61038,1.16985,0.50998,0.93122,0,0.96809,0.90817,0.95483,0.84046,0.9479,0.88711,0.92014,0.7226,0.45945,0.85619,0.29159,0.85298,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,26563.3,0.61594,1.17968,0.51332,0.93133,0,0.96445,0.90855,0.9543,0.84002,0.94646,0.88735,0.92055,0.72252,0.45876,0.85475,0.29067,0.85253,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,26883.8,0.60852,1.17898,0.51308,0.93222,0,0.96385,0.91125,0.95476,0.84015,0.94329,0.88899,0.92058,0.72294,0.45799,0.85329,0.29,0.85215,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,27205.6,0.6085,1.15821,0.50973,0.93149,0,0.96355,0.91143,0.95481,0.84074,0.94367,0.88859,0.92039,0.72369,0.45776,0.85191,0.28952,0.85199,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,27527.5,0.60524,1.15909,0.50267,0.92921,0,0.96612,0.90917,0.95499,0.84132,0.9475,0.88567,0.92054,0.72359,0.45718,0.85114,0.28882,0.85168,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,27849.8,0.60415,1.16142,0.50235,0.92987,0,0.9673,0.90755,0.95479,0.84129,0.94805,0.88519,0.92068,0.72333,0.45673,0.85064,0.28851,0.85157,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,28176.4,0.6013,1.15049,0.49541,0.92749,0,0.96604,0.90796,0.95454,0.83982,0.94729,0.88477,0.9202,0.72359,0.45656,0.84969,0.28792,0.85154,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,28501.1,0.60305,1.1624,0.49132,0.92944,0,0.96523,0.90855,0.95455,0.84023,0.94444,0.88716,0.92003,0.72416,0.45599,0.84866,0.28764,0.85138,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28822.6,0.59823,1.15215,0.48756,0.92706,0,0.96563,0.90977,0.95023,0.83606,0.94612,0.88664,0.91594,0.72063,0.45569,0.84839,0.28733,0.85115,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,29146.7,0.59749,1.15488,0.49178,0.92577,0,0.96663,0.90816,0.95047,0.83828,0.94755,0.88629,0.91581,0.72118,0.45534,0.84778,0.28695,0.85099,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,29478.5,0.51746,0.9463,0.34604,0.88493,0,0.96743,0.90837,0.95082,0.83859,0.94605,0.88651,0.91574,0.72155,0.45481,0.84697,0.28631,0.85078,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,29785.8,0.50844,0.9207,0.33512,0.87787,0,0.96857,0.90971,0.95118,0.83927,0.94694,0.88801,0.91622,0.72207,0.4541,0.84579,0.28507,0.85041,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,30094.4,0.50671,0.9192,0.33334,0.88013,0,0.96879,0.90988,0.95137,0.83945,0.94729,0.8883,0.91683,0.7225,0.45334,0.84496,0.28427,0.85007,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,30403.1,0.50537,0.91693,0.3306,0.87722,0,0.96929,0.91064,0.95592,0.84443,0.94769,0.8892,0.92123,0.72676,0.45248,0.84404,0.28347,0.8496,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,30711.2,0.50024,0.91102,0.32423,0.87397,0,0.96928,0.91086,0.9562,0.84522,0.94833,0.88936,0.92151,0.72756,0.4514,0.8434,0.28229,0.84906,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,31021.2,0.4973,0.91022,0.32164,0.8745,0,0.96971,0.9111,0.95649,0.8457,0.94861,0.889,0.92154,0.72762,0.45061,0.84247,0.28144,0.84869,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,31329.8,0.49525,0.9069,0.31793,0.87226,0,0.96956,0.91111,0.95639,0.84584,0.9483,0.88919,0.92173,0.72811,0.45019,0.84179,0.28103,0.8485,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,31641.3,0.49011,0.89507,0.31344,0.87202,0,0.97023,0.91101,0.95646,0.84614,0.94861,0.88941,0.9222,0.72828,0.44977,0.84055,0.28029,0.84817,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,31951.9,0.49089,0.89758,0.31339,0.87239,0,0.96987,0.91126,0.95663,0.84637,0.94854,0.88933,0.92201,0.72875,0.44925,0.83978,0.27982,0.84786,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,32261.5,0.48478,0.88936,0.31046,0.86945,0,0.96981,0.91131,0.95667,0.84651,0.94849,0.88966,0.92256,0.72878,0.44888,0.84004,0.27908,0.84766,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
